titulo;site;tempo;data_iso;link;pesquisa
TON sobe 8% no dia enquanto o preço do BTC se mantém em US$ 108 mil;Webitcoin;11 horas atrás;2025-05-29T13:12:00Z;https://news.google.com/read/CBMickFVX3lxTE91RzIxVkthc2JjUGJsa3pSelJtbzFrOHQzVnBjZUJ5ZkxobHdRMHFxcGR5MXduM1pQZUlkV01uUHhfYllsOXpPaXpDdWFIU2pNRXpRQVlXQ1pfd0E1a1A1WTMxd3UxYVRJSTg0VW5YQ3BtZw?hl=pt-BR&gl=BR&ceid=BR%3Apt-419;ton crypto
Telegram arrecada US$ 1,7 bilhão em oferta de títulos conversíveis;Cointelegraph;2 horas atrás;2025-05-29T22:00:23Z;https://news.google.com/read/CBMihAFBVV95cUxPeXUtaU51MGFEaTNkeU9zVV94NVJ4dUhuc1h0LTgwMGU5WDJtcEpfWlVqSXNEVWJIQUc0VHhFN1hPOWluYm1EdTMwRTNwcXBGS1VXbjJqNlhIUEVZVHZ4T0h1VVNSZWdpTG9reUFMUGRlSnVwZjF5VlByaTh3MkQ0aVlIQXg?hl=pt-BR&gl=BR&ceid=BR%3Apt-419;ton crypto
De euforia a queda: o caso TON, Telegram e Elon Musk | Fast News;Cointimes;12 horas atrás;2025-05-29T11:34:05Z;https://news.google.com/read/CBMijwFBVV95cUxPZktid2RiMkFnNHVscVBQal8tX3U4X3J0VnljcDBUWUpjU2Ywamc5elh0cFMxM2RQY3JWQzFCMS1JS3JxclpkYXd0RzcybUMxMW81UjUwM0hiWGtjMUQ1VWplYzVqcml4ZGFRQ3p5b3hpUDZjcVpOQnA0X2xoTEU4NlVqZTRfb3l0YVFlaUFFUQ?hl=pt-BR&gl=BR&ceid=BR%3Apt-419;ton crypto
Elon Musk nega acordo com Telegram após postagem de Durov;BeInCrypto Brasil;10 horas atrás;2025-05-29T13:30:00Z;https://news.google.com/read/CBMihgFBVV95cUxQZ0VSYWxJdmhYdTNVMEZtNDBrSm9MazlsQ2t5YjVyQVhJZlZWbnRtTUg3a1Njd0NuZVBPMi1mYUlVSE5uX1pIa09CR0FOSHNkbFM5MlJMYkhCSVQ0bkdlaEdGMmFZaXpQMUxqMUg3UzV1U1FvTzhETmo4SGhXQmRaOWhtU3psZw?hl=pt-BR&gl=BR&ceid=BR%3Apt-419;ton crypto
Telegram e xAI em desacordo ? Elon Musk e Pavel Durov revelam bastidores surpreendentes;investx.fr;16 horas atrás;2025-05-29T08:12:00Z;https://news.google.com/read/CBMihAFBVV95cUxNd0NNcXRVWGlmLXVxZ1p2NjctU19ZLUJGSUVzOWQ4M0xya2g0YzI3YUdTWnB1MkFLS2hMNEdQdG9INktfS3BZN2hwNGZFWVU5ai1KdTJsMFF5RDlsNTQ5OVRQWnBmdGxKXzl0NTR2TEFaaTJCY1lrRVpjR3VzS1lON3hQbHo?hl=pt-BR&gl=BR&ceid=BR%3Apt-419;ton crypto
Enquanto bitcoin fica estável, ethereum vira a bola da vez e supera os US$ 2.700 | InvestNews;InvestNews;11 horas atrás;2025-05-29T12:26:48Z;https://news.google.com/read/CBMitAFBVV95cUxNRG9fcGdwTUpDODRhbVVwM0NVekZsNHRZR0Q5RWZ6X3NZRDFBeVpReTJmRUIzdnpsc2h6S2pkZ3VpSnNKTXd3dEM2LUtyd2pqd1Nvam5fRGc0V05RdFJ0VWRXWXpqY3JLSjZHTU9uX2xmSHNkNEI0azFZX3lWS3JWNHRZdl9SamJrNFpHX1F5S1RrMW5pRjNUYWYtWnhhQnFyVnh3NnZhNHgwTDZ3VndKcENBVnfSAboBQVVfeXFMUHgwd0c5RGs2MUtmcDN6d1F0OExNVjh2ZmJ2cHNSQjVXVl9oRlJzNlZqUThScnVKdVNjRkNkRE1lMmRwUGJuTi1laW03LUxSTTVYYXNSMEhFS3g4R05Za1p3QThQaFI5S2d1V2h5LUxpMmZxeWdmSDRUVGQ2OE90Ym1fbERwQ0U1VEI4U3RaS3hrRG9HazA0eHdUcVRvRzhVaHhiNENqaENRS1FmVmpMMXJ6bkxmS1JBSUVR?hl=pt-BR&gl=BR&ceid=BR%3Apt-419;ton crypto
Insights do Chelsie717(@Chelsie-717);Binance;17 horas atrás;2025-05-29T06:30:15Z;https://news.google.com/read/CBMiZ0FVX3lxTE5SVTFhT2Y5VHlQVFBacWVqTnZYQjRoTk5rUzZLdDhwcl9wWlBSMi1MamRDLU9YdkFOZzM3bnM1bk9IbHVJQjlyMGdOelBxQ3F4c2ZoMDFrdWg1NTZrUWdsUlNsZXZRN2M?hl=pt-BR&gl=BR&ceid=BR%3Apt-419;ton crypto
Os comerciantes dão muito tempo com o pico de interesse aberto;Cryptopolitan;13 horas atrás;2025-05-29T11:01:00Z;https://news.google.com/read/CBMieEFVX3lxTE1QOHdLY2lJWU96VHViOXJHU0E0SkxsUzZEOGFZWEtJYVdyeTFVQ1NOMnlqMHpObmtHR3RBNGxkcEk0ZUZrTkNOUVJ3Q2QxekRoUzJLcTJHUl9xcVg1ZE9CSXpiU2NYYVZyTDNkMkowb0hYLUhpSnNwTQ?hl=pt-BR&gl=BR&ceid=BR%3Apt-419;ton crypto
Previsão de preço da TON em 30 de maio: o Toncoin se manterá acima de US$ 3,25 após um aumento repentino?;Coin Edition;14 horas atrás;2025-05-29T09:41:37Z;https://news.google.com/read/CBMizAFBVV95cUxPZDliU3BSNHpueVdQNWtUVS01Y1BrV2dneVRIYTZLTWIyOFpBMGNMVFUzLXl3akVpcmZvZDZucXRuRG8wdWxUQWM0QWZrSFVZOEFaT1l6Z0hid0RicXNrN3F0RkFXVTZmZEpZODZ1b0JlSWlPN1VCQjhiRElxMXZBNzZvQkpCcWVFazNhZ3VRTU9Cd2xfeDNYb29kYW1NSkVPaHNYOEFNNTVUMU5EODR3blJLU3dza2F1anJ5aC1jWTdINHFjSzE1OV9ENXU?hl=pt-BR&gl=BR&ceid=BR%3Apt-419;ton crypto
Preço do Bitcoin hoje acima de US$ 107 mil: Analista alerta para correção;PortalCripto;9 horas atrás;2025-05-29T14:49:30Z;https://news.google.com/read/CBMiogFBVV95cUxQXzdzelJyRmo1M1J0bmJyUWJLNk1xTHZhWV9HT1poNDUwa29fRWRaYjl4azFpNGZ0VU5TV3ZGNllqY2pGVzNSQW1XaWl1bERfS2U5a2o2RzlJY3pvcDBLV3lqT1BfM2k0NWZOV2UwLUxGMGg2LU83T1l2Y3d6Smt6YXNvSkFEenlsVzAyS055LWNnOHNseGVPdGs1MjhLNXRVUkE?hl=pt-BR&gl=BR&ceid=BR%3Apt-419;ton crypto
