Ativo,Variação_1h_%,Variação_24h_%,Classificação
API3/USDT,-0.49,34.93,
1000CHEEMS/USDT,-0.15,31.71,
NMR/USDT,0.67,22.56,
CAKE/USDT,-1.28,22.05,
BURGER/USDT,-0.51,14.1,
LUNA/USDT,-0.46,11.69,
UMA/USDT,1.24,11.22,Momentum Play
ARK/USDT,-0.17,7.27,
PENDLE/USDT,-0.71,7.11,
PEPE/USDT,-0.96,6.83,
MAGIC/USDT,-1.01,5.98,
AST/USDT,-1.28,5.7,
BSW/USDT,-1.31,5.6,
RIF/USDT,0.0,5.46,
SUN/USDT,0.18,5.13,
XVS/USDT,-1.5,4.8,
TWT/USDT,-1.51,4.61,
TRX/USDT,-0.04,4.56,
C98/USDT,-0.8,4.21,
RLC/USDT,0.15,4.19,
CETUS/USDT,-1.56,4.01,
LUNC/USDT,0.94,3.56,
ATA/USDT,-2.21,3.41,
HARD/USDT,-1.88,3.15,
WIN/USDT,-0.46,3.09,
HFT/USDT,-0.84,3.06,
TRU/USDT,-1.32,3.03,
CVC/USDT,-2.23,2.99,
GLM/USDT,-0.17,2.94,
ORCA/USDT,-0.9,2.87,
RAY/USDT,-1.01,2.85,
DENT/USDT,-1.17,2.83,
HIFI/USDT,-1.08,2.8,
ZRX/USDT,-0.16,2.73,
FTT/USDT,-0.3,2.71,
JST/USDT,-0.43,2.69,
DEGO/USDT,-0.42,2.65,
DIA/USDT,-1.24,2.62,
USUAL/USDT,-0.11,2.61,
GTC/USDT,-1.09,2.54,
RUNE/USDT,0.0,2.53,
HOOK/USDT,-1.52,2.51,
TRB/USDT,-0.6,2.44,
FUN/USDT,0.24,2.43,
SNX/USDT,-0.81,2.4,
CRV/USDT,-0.47,2.34,
STRAX/USDT,-0.21,2.34,
UTK/USDT,-0.31,2.33,
WING/USDT,-0.96,2.29,
SXP/USDT,-0.15,2.28,
LQTY/USDT,-0.97,2.28,
SUSHI/USDT,-0.62,2.23,
VOXEL/USDT,-0.75,2.17,
AXS/USDT,-0.89,2.14,
QI/USDT,-0.88,2.07,
APE/USDT,-0.68,2.05,
NULS/USDT,-0.3,1.98,
ADX/USDT,-0.18,1.96,
CVX/USDT,0.05,1.94,
BEAMX/USDT,-0.47,1.93,
FIS/USDT,-0.27,1.93,
DYM/USDT,-0.92,1.89,
CYBER/USDT,-1.0,1.89,
TST/USDT,-0.45,1.86,
TFUEL/USDT,-0.18,1.86,
MTL/USDT,-0.65,1.86,
BAT/USDT,-0.4,1.85,
SUI/USDT,-0.84,1.77,
JOE/USDT,-0.05,1.77,
USTC/USDT,0.08,1.76,
VTHO/USDT,-1.21,1.73,
ARPA/USDT,-0.57,1.72,
XTZ/USDT,-0.28,1.72,
DODO/USDT,-1.22,1.67,
XAI/USDT,-1.03,1.66,
IOTX/USDT,-0.91,1.64,
CELO/USDT,-0.65,1.63,
AEUR/USDT,0.1,1.63,
ANIME/USDT,-0.82,1.62,
LEVER/USDT,-1.05,1.62,
ROSE/USDT,-0.28,1.53,
POWR/USDT,-0.42,1.52,
NKN/USDT,-0.84,1.5,
CREAM/USDT,0.0,1.5,
POLYX/USDT,-2.6,1.47,
BTTC/USDT,0.0,1.45,
HIGH/USDT,-0.91,1.4,
GRT/USDT,-0.11,1.39,
GNO/USDT,0.24,1.37,
CTSI/USDT,-0.54,1.37,
XEC/USDT,-0.69,1.36,
T/USDT,-0.55,1.36,
RDNT/USDT,-1.24,1.31,
DATA/USDT,-0.83,1.27,
PIXEL/USDT,-1.58,1.26,
AAVE/USDT,-0.26,1.26,
LPT/USDT,-1.11,1.24,
IOTA/USDT,-0.66,1.24,
MANA/USDT,-1.29,1.21,
HIVE/USDT,-0.33,1.21,
BIFI/USDT,-0.54,1.2,
STG/USDT,-0.62,1.16,
OP/USDT,-0.57,1.16,
EOS/USDT,-0.3,1.13,
FIL/USDT,-1.08,1.1,
IMX/USDT,-1.58,1.08,
NFP/USDT,-1.17,1.08,
ME/USDT,-0.96,1.07,
D/USDT,-1.69,1.04,
PERP/USDT,-1.39,1.03,
LINK/USDT,-0.43,1.02,
1000CAT/USDT,-0.74,1.01,
ICP/USDT,-0.65,0.99,
AUDIO/USDT,-0.48,0.97,
ARKM/USDT,-1.51,0.96,
ID/USDT,-1.5,0.93,
BAND/USDT,-1.14,0.91,
NEO/USDT,-0.37,0.88,
DCR/USDT,-1.17,0.85,
ZIL/USDT,-0.24,0.82,
FORTH/USDT,-0.58,0.81,
GLMR/USDT,-0.78,0.8,
ENA/USDT,-2.72,0.79,
KMD/USDT,-1.0,0.78,
BETA/USDT,-0.67,0.78,
LTO/USDT,-0.46,0.78,
FXS/USDT,-0.16,0.78,
PAXG/USDT,0.07,0.77,
NEXO/USDT,-0.37,0.76,
ONG/USDT,-0.09,0.75,
JUP/USDT,-0.82,0.74,
TKO/USDT,-1.0,0.71,
LSK/USDT,-1.05,0.71,
YGG/USDT,-0.9,0.71,
CHR/USDT,-1.26,0.69,
LOKA/USDT,-0.67,0.68,
MAV/USDT,-0.89,0.67,
BB/USDT,-1.2,0.65,
QTUM/USDT,-0.46,0.65,
SNT/USDT,-0.12,0.62,
BAKE/USDT,-0.68,0.62,
POND/USDT,-0.7,0.62,
FLM/USDT,-0.6,0.61,
QKC/USDT,-1.25,0.58,
MINA/USDT,-0.61,0.58,
AMP/USDT,-0.56,0.56,
CATI/USDT,-0.27,0.55,
OXT/USDT,-0.54,0.54,
MLN/USDT,-0.63,0.54,
STEEM/USDT,-1.85,0.53,
ZEC/USDT,-1.15,0.51,
SFP/USDT,-0.52,0.51,
1MBABYDOGE/USDT,-0.68,0.51,
PHA/USDT,-1.26,0.51,
LISTA/USDT,-0.61,0.5,
GNS/USDT,-0.94,0.45,
WAN/USDT,-0.54,0.45,
PEOPLE/USDT,-1.77,0.44,
PUNDIX/USDT,-0.63,0.43,
PORTAL/USDT,-0.84,0.42,
TURBO/USDT,-1.41,0.4,
ICX/USDT,-0.77,0.39,
BNB/USDT,-0.09,0.39,
VIDT/USDT,-1.21,0.38,
REQ/USDT,-0.27,0.36,
BAL/USDT,-0.97,0.35,
1INCH/USDT,-0.89,0.35,
MBOX/USDT,-1.02,0.35,
ARDR/USDT,-0.54,0.32,
ATOM/USDT,0.69,0.28,
BOME/USDT,0.07,0.28,
YFI/USDT,-0.24,0.28,
ONT/USDT,-1.21,0.27,
PYTH/USDT,-0.8,0.27,
ALPHA/USDT,-0.77,0.26,
MOVE/USDT,-0.85,0.25,
EUR/USDT,0.01,0.23,
EURI/USDT,-0.02,0.22,
LUMIA/USDT,-0.66,0.22,
SUPER/USDT,-0.92,0.22,
AGLD/USDT,0.1,0.2,
VIB/USDT,-1.26,0.13,
GALA/USDT,-1.0,0.12,
PIVX/USDT,-0.36,0.12,
CFX/USDT,-0.92,0.12,
ENJ/USDT,-0.88,0.11,
ARB/USDT,-0.77,0.11,
MKR/USDT,1.17,0.08,Saída de Lateralidade
COTI/USDT,-0.67,0.07,
IQ/USDT,-0.41,0.07,
FARM/USDT,-0.21,0.07,
SKL/USDT,-1.28,0.07,
SYN/USDT,-1.63,0.06,
REI/USDT,-1.28,0.04,
USDC/USDT,0.01,0.01,
RARE/USDT,1.76,0.0,Saída de Lateralidade
FDUSD/USDT,0.0,0.0,
USDP/USDT,-0.02,0.0,
WOO/USDT,-0.94,0.0,
BNT/USDT,-0.52,0.0,
TUSD/USDT,0.0,-0.02,
CTK/USDT,-1.6,-0.03,
CKB/USDT,-0.89,-0.04,
PENGU/USDT,-1.6,-0.05,
NTRN/USDT,-0.43,-0.07,
DASH/USDT,-1.17,-0.09,
THETA/USDT,-0.89,-0.11,
SSV/USDT,-0.92,-0.13,
GMX/USDT,-1.16,-0.14,
OM/USDT,-2.11,-0.16,
OGN/USDT,-0.78,-0.16,
NEAR/USDT,-1.88,-0.16,
PDA/USDT,-1.18,-0.16,
KSM/USDT,0.12,-0.17,
MBL/USDT,0.04,-0.18,
FIDA/USDT,-0.8,-0.18,
COS/USDT,-1.09,-0.2,
PYR/USDT,-0.93,-0.21,
CHESS/USDT,-1.08,-0.22,
FLOW/USDT,-0.73,-0.24,
G/USDT,-0.85,-0.26,
STORJ/USDT,-1.06,-0.28,
GAS/USDT,-0.76,-0.28,
ANKR/USDT,-0.45,-0.28,
ETH/USDT,-0.38,-0.29,
IDEX/USDT,-1.46,-0.31,
WAXP/USDT,-0.38,-0.34,
ASTR/USDT,-0.79,-0.35,
WBETH/USDT,-0.62,-0.37,
MASK/USDT,-0.05,-0.37,
LRC/USDT,-0.76,-0.38,
MEME/USDT,-0.88,-0.38,
ELF/USDT,-0.16,-0.41,
AEVO/USDT,-1.16,-0.42,
BTC/USDT,-0.24,-0.44,
HOT/USDT,-0.44,-0.44,
CELR/USDT,-1.06,-0.48,
CTXC/USDT,-0.35,-0.49,
PHB/USDT,-1.19,-0.51,
TAO/USDT,-0.77,-0.53,
AVAX/USDT,-1.07,-0.54,
ALPINE/USDT,-0.22,-0.55,
1000SATS/USDT,-0.25,-0.57,
RVN/USDT,-0.33,-0.58,
METIS/USDT,-0.93,-0.58,
RPL/USDT,-0.59,-0.59,
SC/USDT,-0.85,-0.64,
BONK/USDT,-1.57,-0.65,
WBTC/USDT,-0.34,-0.66,
TLM/USDT,-0.87,-0.69,
CHZ/USDT,-0.65,-0.71,
EDU/USDT,-1.41,-0.71,
BICO/USDT,-0.72,-0.72,
DUSK/USDT,-0.93,-0.72,
GHST/USDT,-1.23,-0.74,
PSG/USDT,-0.27,-0.77,
ACM/USDT,-0.66,-0.77,
EIGEN/USDT,-1.31,-0.79,
MANTA/USDT,-1.57,-0.79,
VET/USDT,-0.97,-0.81,
UNI/USDT,-0.53,-0.82,
WIF/USDT,-1.45,-0.83,
FIO/USDT,-0.77,-0.83,
DGB/USDT,-0.97,-0.85,
SCR/USDT,-1.15,-0.86,
COMP/USDT,-0.75,-0.87,
ETC/USDT,-0.06,-0.9,
SAND/USDT,-0.57,-0.92,
W/USDT,-1.15,-0.92,
ALICE/USDT,-1.1,-0.92,
ACA/USDT,-0.7,-0.94,
PORTO/USDT,-0.96,-0.95,
BCH/USDT,-0.21,-0.98,
CITY/USDT,-0.63,-0.99,
ILV/USDT,-1.2,-0.99,
LAZIO/USDT,-0.48,-1.04,
KDA/USDT,-1.24,-1.07,
BLUR/USDT,-0.86,-1.15,
ONE/USDT,-1.32,-1.15,
FET/USDT,-0.58,-1.16,
ENS/USDT,-0.55,-1.16,
KAVA/USDT,-0.41,-1.17,
RSR/USDT,-1.18,-1.17,
ACH/USDT,-1.09,-1.18,
XVG/USDT,-1.05,-1.19,
MOVR/USDT,-0.83,-1.19,
ASR/USDT,-0.24,-1.21,
FLOKI/USDT,-0.93,-1.24,
LDO/USDT,-0.85,-1.27,
BADGER/USDT,-0.67,-1.27,
RAD/USDT,-0.35,-1.28,
COW/USDT,-0.56,-1.28,
ACE/USDT,-1.16,-1.3,
ALT/USDT,-1.42,-1.33,
RENDER/USDT,-1.32,-1.35,
BAR/USDT,-0.06,-1.37,
XLM/USDT,-0.71,-1.4,
ADA/USDT,-0.49,-1.4,
GMT/USDT,-1.42,-1.42,
ATM/USDT,-0.73,-1.45,
XNO/USDT,-0.46,-1.47,
SLP/USDT,-1.31,-1.48,
TROY/USDT,-0.3,-1.48,
FLUX/USDT,-0.37,-1.55,
TIA/USDT,-0.76,-1.66,
STRK/USDT,-1.23,-1.67,
RONIN/USDT,-1.02,-1.76,
OSMO/USDT,-0.45,-1.78,
EGLD/USDT,-1.33,-1.82,
CGPT/USDT,-1.23,-1.83,
ALGO/USDT,-1.01,-1.84,
OMNI/USDT,-1.25,-1.86,
AVA/USDT,-1.09,-1.86,
SEI/USDT,-1.06,-1.86,
DEXE/USDT,0.46,-1.88,
ACT/USDT,0.11,-1.88,
ACX/USDT,-1.81,-1.89,
DYDX/USDT,-0.59,-1.89,
UFT/USDT,-0.79,-1.96,
IOST/USDT,-1.37,-1.99,
JTO/USDT,-1.17,-2.04,
SAGA/USDT,-0.95,-2.06,
VANRY/USDT,-1.4,-2.09,
WLD/USDT,-1.76,-2.1,
KAITO/USDT,-1.19,-2.11,
SPELL/USDT,-2.07,-2.17,
AERGO/USDT,-1.74,-2.17,
APT/USDT,-0.68,-2.23,
TON/USDT,0.2,-2.24,
AXL/USDT,-0.63,-2.27,
JASMY/USDT,-1.23,-2.3,
ZRO/USDT,-0.96,-2.32,
INJ/USDT,-1.13,-2.33,
FIRO/USDT,-0.19,-2.33,
SCRT/USDT,-2.7,-2.36,
PROM/USDT,-0.86,-2.46,
ETHFI/USDT,-1.04,-2.48,
KAIA/USDT,-0.56,-2.48,
NOT/USDT,-0.34,-2.55,
ZEN/USDT,-1.72,-2.56,
AR/USDT,-0.73,-2.59,
OG/USDT,0.11,-2.59,
ALCX/USDT,-0.68,-2.59,
POL/USDT,-0.94,-2.65,
HBAR/USDT,-1.03,-2.89,
DOGE/USDT,-0.53,-2.9,
